COMPLAINID	COMPLAINDATE	COMPLETIONDATE	LASTNAME	FIRSTNAME	GENDER	BROKERFULLNAME	COMMISSIONSCHEME	DESCRIPTION_CATEGORY	REGION	DESCRIPTION_STATUS	STATE	PRODUCT	DESCRIPTION_PRIORITIES	DESCRIPTION_SOURCE	DESCRIPTION_TYPE
7	20-12-2011	13-01-2012	Antonio	Baker	MALE	George Wallace	Comm7	DETERMINATION OF ANSWER TO BLOOD QUESTION SOLIDARITY	West	CLOSED	California	BNM-073	Urgent	Company HQ	Email
8	20-12-2011	23-12-2011	Keith	Gardner	MALE	Matthew Rivera	Comm2	DETERMINATION OF ANSWER TO BLOOD QUESTION SOLIDARITY	South	CLOSED	Georgia	BNM-062	Urgent	Bank HQ	Phone
16	27-12-2011	26-01-2012	Ronald	Butler	MALE	Arthur Garza	Comm2	IGNORANCE OF EXISTENCE	West	CLOSED	California	BNM-041	Urgent	Company HQ	Written
17	27-12-2011	27-01-2012	Sean	Perkins	MALE	Craig Ford	Comm8	POOR INFORMATION BEFORE OR WITH THE SALE	West	CLOSED	Montana	MMP-004	Urgent	Company HQ	Email
18	27-12-2011	18-01-2012	Tammy	Berry	FEMALE	Joshua Cook	Comm4	POOR SERVICE	West	CLOSED	Utah	CAS-012	Urgent	Company HQ	Written
19	27-12-2011	14-02-2012	Charles	Wallace	MALE	Roger Rogers	No Commission	DETERMINATION OF ANSWER TO BLOOD QUESTION SOLIDARITY	South	CLOSED	Florida	MMP-006	Urgent	Company HQ	Written
20	27-12-2011	11-01-2012	Laura	Reynolds	FEMALE	Eric Sanchez	Comm2	POOR SERVICE	West	CLOSED	California	MOT-008	Urgent	Bank HQ	Phone
22	27-12-2011	27-01-2012	Rebecca	Ross	FEMALE	Andrew Williamson	Bonus Based	PAYMENT POLICY	South	CLOSED	Florida	CAS-022	Urgent	Company HQ	Written
23	29-12-2011	12-01-2012	Hawthorn 			Antonio Bell	Bonus Based	IGNORANCE OF EXISTENCE	South	CLOSED	Virginia	CAS-065	Urgent	Company HQ	Written
24	29-12-2011	19-01-2012	Aaron	Boyd	MALE	Kevin Sanders	Bonus Based	POOR INFORMATION BEFORE OR WITH THE SALE	West	CLOSED	California	MOT-011	Urgent	Company HQ	Written
25	30-12-2011	03-01-2012	Diane	Hayes	FEMALE	Paul Gardner	Comm6	POOR INFORMATION BEFORE OR WITH THE SALE	South	CLOSED	Georgia	HOC-064	Urgent	Bank HQ	Phone
26	30-12-2011	13-01-2012	Betty	Gutierrez	FEMALE	Peter Chapman	Bonus Based	POOR INFORMATION BEFORE OR WITH THE SALE	South	CLOSED	Texas	HOC-055	Urgent	Bank HQ	Phone
27	30-12-2011	13-01-2012	Paula	Riley	FEMALE	Kevin Johnson	Comm2	DISCLAIMER OF A SERVICE 	Midwest	CLOSED	Minnesota	CAS-015	Urgent	Call Center	Phone
28	30-12-2011	05-01-2012	Ruby	Howard	FEMALE	Jeremy Wood	Comm7	POOR INFORMATION BEFORE OR WITH THE SALE	Midwest	CLOSED	Illinois	BNM-032	Urgent	Bank HQ	Phone
29	02-01-2012	13-01-2012	Jesse	Owens	MALE	Robert Nichols	No Commission	POWER FOR PRESENTATION OR WRONG	West	CLOSED	California	CAS-014	Urgent	Bank Branch	In person
30	02-01-2012	18-01-2012	Ralph	Phillips	MALE	Bobby Andrews	Comm4	MANAGEMENTNOT DECISION OF ANOTHER COMPANY CONTRACT	Midwest	CLOSED	Missouri	CAS-022	Urgent	Company HQ	Written
31	03-01-2012	30-01-2012	Bruce	Wilson	MALE	Shawn Fernandez	Comm2	POOR SERVICE	South	CLOSED	Tennessee	HOC-050	Urgent	Company HQ	Email
32	03-01-2012	19-01-2012	George	Gordon	MALE	Ronald Reed	Comm4	POOR SERVICE	West	CLOSED	California	HOC-054	Urgent	Company HQ	Written
33	03-01-2012	05-01-2012	Roger	Castillo	MALE	Nicholas Carpenter	Comm2	IGNORANCE OF EXISTENCE	South	CLOSED	Florida	HOC-048	Urgent	Call Center	Phone
34	03-01-2012	13-01-2012	Peter	Stone	MALE	Martin Day	No Commission	POOR INFORMATION BEFORE OR WITH THE SALE	South	CLOSED	Virginia	CAP-029	Urgent	Bank Branch	In person
35	03-01-2012	24-01-2012	Kathryn	Webb	FEMALE	Antonio Bell	Bonus Based	POOR INFORMATION BEFORE OR WITH THE SALE	South	CLOSED	Oklahoma	BNM-037	Urgent	Company HQ	Written
36	04-01-2012	31-01-2012	Matthew	Snyder	MALE	Fred Morris	Comm2	POOR SERVICE	Midwest	CLOSED	Michigan	CAS-019	Urgent	Company HQ	Written
38	04-01-2012	18-01-2012	Barbara	Mitchell	FEMALE	Charles Payne	Comm2	DETERMINATION OF ANSWER TO BLOOD QUESTION SOLIDARITY	Northeast	CLOSED	New York	CAS-013	Urgent	Company HQ	Court Order
39	05-01-2012	09-01-2012	Andrea	Gonzales	FEMALE	Phillip Fuller	Comm2	DETERMINATION OR LOSS OF ABSOLUTE REGISTRATIONS	West	CLOSED	California	BNM-031	Non Urgent	Company HQ	Written
40	05-01-2012	27-01-2012	Steven	Wells	MALE	Gary Ryan	Comm8	IGNORANCE OF EXISTENCE	South	CLOSED	Florida	HOC-052	Urgent	Company HQ	Written
41	05-01-2012	19-01-2012	Diane	Armstrong	FEMALE	Mark Turner	Comm9	POOR SERVICE	Midwest	CLOSED	Illinois	MOT-008	Non Urgent	Company HQ	Written
42	05-01-2012	30-01-2012	Todd	Berry	MALE	Roger Lopez	Comm2	IGNORANCE OF EXISTENCE	West	CLOSED	California	BNM-040	Non Urgent	Company HQ	Written
43	05-01-2012	03-02-2012	Randy	Castillo	MALE	Joshua Garrett	Comm4	POOR INFORMATION BEFORE OR WITH THE SALE	Midwest	CLOSED	Illinois	CAS-066	Urgent	Company HQ	Written
44	09-01-2012	07-02-2012	Ernest	Cole	MALE	Steve Bryant	Bonus Based	POOR SERVICE	Midwest	CLOSED	Indiana	MOT-010	Urgent	Company HQ	Written
46	10-01-2012	20-01-2012	Terry	Green	MALE	Billy Brooks	No Commission	POOR INFORMATION BEFORE OR WITH THE SALE	West	CLOSED	California	HOC-051	Non Urgent	Company HQ	Written
47	10-01-2012	23-01-2012	Debra	Rivera	FEMALE	Jonathan Stevens	No Commission	IGNORANCE OF EXISTENCE	Northeast	CLOSED	Massachusetts	CAS-022	Urgent	Company HQ	Court Order
48	10-01-2012	18-01-2012	Thomas	Harris	MALE	Joe Sims	Comm3	DISCLAIMER OF DISMISSAL	South	CLOSED	Florida	BNM-032	Non Urgent	Company HQ	Written
49	10-01-2012	18-01-2012	Craig	Johnston	MALE	Thomas Howard	Comm8	POOR SERVICE	South	CLOSED	Texas	HHC-078	Urgent	Company HQ	Written
50	10-01-2012	09-02-2012	Jennifer	Perry	FEMALE	Earl King	Comm7	DISCLAIMER OF A SERVICE 	South	CLOSED	Georgia	BNM-040	Non Urgent	Company HQ	Written
52	11-01-2012	19-01-2012	Chris	Spencer	MALE	Antonio Warren	Comm6	POWER FOR PRESENTATION OR WRONG	South	CLOSED	Texas	BNM-041	Urgent	Bank HQ	Email
53	12-01-2012	24-02-2012	Mary	Holmes	FEMALE	Lawrence George	Comm3	DETERMINATION OF ANSWER TO BLOOD QUESTION SOLIDARITY	West	CLOSED	California	BNM-041	Urgent	Company HQ	Court Order
